,participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.x1,player.x2,player.x3,player.x4,player.x5,player.y,player.chose_x1,player.chose_x2,player.chose_x3,player.chose_x4,player.chose_x5,player.number_variables,player.guess,player.correct,group.id_in_subsession,group.x1,group.x2,group.x3,group.x4,group.x5,group.y,group.polarized,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,round_number_modif,revealed_variables_count,model,indic_1,indic_2,indic_3,indic_4,indic_5,single_variable,2040_count,better_random_2040,group_id,prediction
0,1,h1ybzcse,LAB23,0,260,260,Part2,Result,2023-06-05 17:04:32.003908,1,,,35.0,1,,1.0,0.0,-8.0,7.0,-4.0,98.0,1.0,0,1,1,1,0,3.0,1.0,1.0,1,0.0,-8.0,7.0,-4.0,98.0,1.0,,1,1jia4yj2,,,,,0,21,3,01110,0,0,1,0,0,,12.0,1.0,1jia4yj21,1
1,1,h1ybzcse,LAB23,0,260,260,Part2,Result,2023-06-05 17:04:32.003908,1,,,35.0,1,,0.0,0.0,-10.0,8.0,-1.0,94.0,1.0,0,1,1,1,1,4.0,0.0,0.0,1,0.0,-10.0,8.0,-1.0,94.0,1.0,,2,1jia4yj2,,,,,0,22,4,01111,0,0,0,1,0,,12.0,1.0,1jia4yj21,1
2,1,h1ybzcse,LAB23,0,260,260,Part2,Result,2023-06-05 17:04:32.003908,1,,,35.0,1,,0.0,0.0,-10.0,3.0,-6.0,102.0,0.0,1,1,1,1,1,5.0,1.0,0.0,1,0.0,-10.0,3.0,-6.0,102.0,0.0,,3,1jia4yj2,,,,,0,23,5,11111,0,0,0,0,1,,12.0,1.0,1jia4yj21,0
3,1,h1ybzcse,LAB23,0,260,260,Part2,Result,2023-06-05 17:04:32.003908,1,,,35.0,1,,0.0,-1.0,-6.0,6.0,-3.0,104.0,1.0,0,1,1,1,0,3.0,0.0,0.0,1,-1.0,-6.0,6.0,-3.0,104.0,1.0,,4,1jia4yj2,,,,,0,24,3,01110,0,0,1,0,0,,12.0,1.0,1jia4yj21,1
4,1,h1ybzcse,LAB23,0,260,260,Part2,Result,2023-06-05 17:04:32.003908,1,,,35.0,1,,1.0,0.0,-10.0,1.0,-6.0,96.0,0.0,0,1,1,1,1,4.0,0.0,1.0,1,0.0,-10.0,1.0,-6.0,96.0,0.0,,5,1jia4yj2,,,,,0,25,4,01111,0,0,0,1,0,,12.0,1.0,1jia4yj21,0
5,1,h1ybzcse,LAB23,0,260,260,Part2,Result,2023-06-05 17:04:32.003908,1,,,35.0,1,,1.0,0.0,-10.0,3.0,6.0,93.0,1.0,0,1,1,1,0,3.0,1.0,1.0,1,0.0,-10.0,3.0,6.0,93.0,1.0,,6,1jia4yj2,,,,,0,26,3,01110,0,0,1,0,0,,12.0,1.0,1jia4yj21,1
6,1,h1ybzcse,LAB23,0,260,260,Part2,Result,2023-06-05 17:04:32.003908,1,,,35.0,1,,1.0,0.0,-10.0,1.0,-4.0,101.0,0.0,0,1,1,1,1,4.0,0.0,1.0,1,0.0,-10.0,1.0,-4.0,101.0,0.0,,7,1jia4yj2,,,,,0,27,4,01111,0,0,0,1,0,,12.0,1.0,1jia4yj21,0
7,1,h1ybzcse,LAB23,0,260,260,Part2,Result,2023-06-05 17:04:32.003908,1,,,35.0,1,,0.0,-1.0,-12.0,6.0,0.0,105.0,0.0,0,0,1,1,0,2.0,1.0,0.0,1,-1.0,-12.0,6.0,0.0,105.0,0.0,,8,1jia4yj2,,,,,0,28,2,00110,0,1,0,0,0,,12.0,1.0,1jia4yj21,1
8,1,h1ybzcse,LAB23,0,260,260,Part2,Result,2023-06-05 17:04:32.003908,1,,,35.0,1,,1.0,0.0,-5.0,6.0,-3.0,96.0,1.0,0,0,0,1,0,1.0,1.0,1.0,1,0.0,-5.0,6.0,-3.0,96.0,1.0,,9,1jia4yj2,,,,,0,29,1,00010,1,0,0,0,0,4.0,12.0,1.0,1jia4yj21,1
9,1,h1ybzcse,LAB23,0,260,260,Part2,Result,2023-06-05 17:04:32.003908,1,,,35.0,1,,0.0,-2.0,-8.0,10.0,-3.0,95.0,1.0,0,1,1,1,1,4.0,0.0,0.0,1,-2.0,-8.0,10.0,-3.0,95.0,1.0,,10,1jia4yj2,,,,,0,30,4,01111,0,0,0,1,0,,12.0,1.0,1jia4yj21,1
10,1,h1ybzcse,LAB23,0,260,260,Part2,Result,2023-06-05 17:04:32.003908,1,,,35.0,1,,1.0,0.0,-9.0,7.0,-11.0,96.0,0.0,1,1,1,1,1,5.0,0.0,1.0,1,0.0,-9.0,7.0,-11.0,96.0,0.0,,11,1jia4yj2,,,,,0,31,5,11111,0,0,0,0,1,,12.0,1.0,1jia4yj21,1
11,1,h1ybzcse,LAB23,0,260,260,Part2,Result,2023-06-05 17:04:32.003908,1,,,35.0,1,,1.0,0.0,-10.0,0.0,-2.0,100.0,0.0,0,0,1,0,0,1.0,0.0,1.0,1,0.0,-10.0,0.0,-2.0,100.0,0.0,,12,1jia4yj2,,,,,0,32,1,00100,1,0,0,0,0,3.0,12.0,1.0,1jia4yj21,0
12,1,h1ybzcse,LAB23,0,260,260,Part2,Result,2023-06-05 17:04:32.003908,1,,,35.0,1,,1.0,1.0,-8.0,8.0,-9.0,103.0,1.0,0,0,1,1,0,2.0,1.0,1.0,1,1.0,-8.0,8.0,-9.0,103.0,1.0,,13,1jia4yj2,,,,,0,33,2,00110,0,1,0,0,0,,12.0,1.0,1jia4yj21,0
13,1,h1ybzcse,LAB23,0,260,260,Part2,Result,2023-06-05 17:04:32.003908,1,,,35.0,1,,1.0,1.0,-12.0,3.0,-1.0,102.0,1.0,0,1,1,1,1,4.0,1.0,1.0,1,1.0,-12.0,3.0,-1.0,102.0,1.0,,14,1jia4yj2,,,,,0,34,4,01111,0,0,0,1,0,,12.0,1.0,1jia4yj21,0
14,1,h1ybzcse,LAB23,0,260,260,Part2,Result,2023-06-05 17:04:32.003908,1,,,35.0,1,,1.0,1.0,-11.0,1.0,1.0,97.0,1.0,0,0,1,1,0,2.0,1.0,1.0,1,1.0,-11.0,1.0,1.0,97.0,1.0,,15,1jia4yj2,,,,,0,35,2,00110,0,1,0,0,0,,12.0,1.0,1jia4yj21,1
15,1,h1ybzcse,LAB23,0,260,260,Part2,Result,2023-06-05 17:04:32.003908,1,,,35.0,1,,0.0,0.0,-6.0,4.0,-5.0,93.0,1.0,0,0,0,1,0,1.0,0.0,0.0,1,0.0,-6.0,4.0,-5.0,93.0,1.0,,16,1jia4yj2,,,,,0,36,1,00010,1,0,0,0,0,4.0,12.0,1.0,1jia4yj21,1
16,1,h1ybzcse,LAB23,0,260,260,Part2,Result,2023-06-05 17:04:32.003908,1,,,35.0,1,,0.0,0.0,-10.0,1.0,-1.0,96.0,0.0,1,1,1,1,1,5.0,1.0,0.0,1,0.0,-10.0,1.0,-1.0,96.0,0.0,,17,1jia4yj2,,,,,0,37,5,11111,0,0,0,0,1,,12.0,1.0,1jia4yj21,0
